,headline,kicker,page,pub_date
0,The Simple Life,David Brooks,13,2006-10-03T11:14:26Z
1,The Heat Is On in the Middle East,David Brooks,13,2006-07-20T12:07:21Z
2,Slicker Journalism Lacks Color,David Brooks,13,2006-07-06T11:46:12Z
3,Solving the Iran Problem,David Brooks,13,2006-01-23T15:31:30Z
4,Is Bush Finally Talking Straight?,David Brooks,13,2005-12-05T11:42:59Z
5,Knowledge Corrupts,David Brooks,13,2011-03-14T11:07:53Z
6,Body and Spirit,David Brooks,13,2011-03-08T14:52:09Z
7,Hello,David Brooks,13,2011-03-06T17:30:52Z
8,"A Decisive, Divisive Issue",David Brooks,13,2007-09-07T16:06:54Z
9,Politics Highlights Class Rifts,David Brooks,13,2007-08-14T15:40:22Z
