,headline,kicker,page,pub_date
0,Matter Over Mind,David Brooks,24,2011-04-20T14:37:14Z
1,The Arena Culture,David Brooks,24,2010-12-31T00:00:00Z
2,The Arduous Community,David Brooks,24,2010-12-21T00:00:00Z
3,Introspective or Narcissistic?,Op-Ed Columnist,24,2014-08-08T00:00:00Z
