,headline,kicker,page,pub_date
0,Cynical? Blame It on Reagan. Or the Media. Or iPods. Or Bush.,David Brooks,10,2005-12-02T16:33:27Z
1,Planting the Seeds of Cynicism,David Brooks,10,2005-12-01T17:19:53Z
2,"In the Mideast, Chess Game or Shell Game?",David Brooks,10,2005-11-17T13:51:50Z
3,No High Marks for Head Start,David Brooks,10,2005-11-14T13:13:55Z
4,Welcome,David Brooks,10,2005-09-18T15:22:23Z
5,The Life Report: B. Clewly Johnson,David Brooks,10,2011-11-28T16:42:22Z
6,Self-Confidence Man,David Brooks,10,2007-07-17T15:41:57Z
7,"Leadership, Republican Style",David Brooks,10,2007-05-03T16:25:44Z
8,We Must Turn Outward,David Brooks,10,2007-02-01T15:51:35Z
9,Creating a Heavier Footprint in Iraq,David Brooks,10,2007-01-09T19:34:01Z
