,headline,kicker,page,pub_date
0,A New Direction for Republicans,David Brooks,5,2007-05-15T16:10:57Z
1,"Too Little, Too Late?",David Brooks,5,2007-03-08T16:48:22Z
2,A Campaign Strategy for the Taking,David Brooks,5,2007-02-22T17:16:07Z
3,Exorcising Iraq,David Brooks,5,2006-11-02T14:37:26Z
4,Culture Club,David Brooks,5,2006-08-14T13:08:55Z
5,The Life Report: James Opie,David Brooks,5,2011-12-13T11:37:39Z
6,Putting Iraq Back Together Again,David Brooks,5,2007-06-19T12:53:28Z
7,The Softer Side of Surging,David Brooks,5,2007-01-25T16:50:30Z
8,Who's to Blame?,David Brooks,5,2007-01-12T14:27:57Z
9,"Leaving Iraq, With Hope Intact",David Brooks,5,2006-11-13T13:33:51Z
