,headline,kicker,page,pub_date
0,A Tribute to a Man of Faith,David Brooks,11,2006-11-20T15:36:37Z
1,Is Durham the New Salem?,David Brooks,11,2006-05-30T11:49:08Z
2,Republicans Look for Something to Believe In,David Brooks,11,2006-03-23T14:50:18Z
3,Does Money Make the Parent?,David Brooks,11,2006-03-09T12:57:24Z
4,Republicans Ripe for Reform,David Brooks,11,2006-01-05T13:17:16Z
5,Spielberg as Middle East Moralist,David Brooks,11,2005-12-12T17:04:47Z
6,The Life Report: B. Clewly Johnson,David Brooks,11,2011-11-28T16:42:22Z
7,Self-Confidence Man,David Brooks,11,2007-07-17T15:41:57Z
8,"Leadership, Republican Style",David Brooks,11,2007-05-03T16:25:44Z
9,We Must Turn Outward,David Brooks,11,2007-02-01T15:51:35Z
