,headline,kicker,page,pub_date
0,"On Cheney's Shot, Too Big a Bang?",David Brooks,21,2006-02-16T15:34:09Z
1,Ganging Up on Partisan Warfare,David Brooks,21,2006-02-14T13:11:47Z
2,Banking on Values,David Brooks,21,2006-01-26T15:04:04Z
3,A Woman's Place . . . Where Was That Again?,David Brooks,21,2006-01-03T16:33:25Z
4,Have Our Civil Liberties Put Us in Danger?,David Brooks,21,2005-12-22T10:43:59Z
5,"Raps and Riots: On 'Gangsta, in French'",David Brooks,21,2005-11-10T13:45:25Z
6,On 'The Education Gap',David Brooks,21,2005-10-11T12:12:26Z
7,On 'The Designated Hitter',David Brooks,21,2005-10-11T12:05:41Z
8,"I Go to the Beach, Therefore I Am",David Brooks,21,2007-08-31T16:47:08Z
9,"Perceivers, Not Deciders",David Brooks,21,2007-06-22T15:42:37Z
