,headline,kicker,page,pub_date
0,"Internationalist, not Isolationist",David Brooks,16,2006-03-06T13:04:30Z
1,Southwest Sprawl? Where Will the Water Come From?,David Brooks,16,2006-01-19T13:06:11Z
2,Should the U.S. Get Out of Iraq?,David Brooks,16,2005-11-21T06:58:12Z
3,The Education America's Children Need,David Brooks,16,2005-11-15T16:44:24Z
4,"Rap and Riots: More on 'Gangsta, in French'",David Brooks,16,2005-11-11T16:28:18Z
5,The Art and Science of Naming,David Brooks,16,2007-08-07T15:38:53Z
6,"Still Separate, Still Looking for Equality",David Brooks,16,2007-07-06T14:26:18Z
7,Looking to a Founding Father,David Brooks,16,2007-06-19T12:52:01Z
8,Keeping Up With the Ultra-Hip Joneses,David Brooks,16,2007-02-26T17:06:58Z
9,A New Political Phase,David Brooks,16,2006-10-26T12:30:53Z
