,headline,kicker,page,pub_date
0,No Love for Lieberman,David Brooks,7,2006-07-10T10:26:00Z
1,A Dangerous Game of Rummy,David Brooks,7,2006-03-16T15:43:08Z
2,Port Prudence or Xenophobia?,David Brooks,7,2006-02-23T12:29:49Z
3,"Treating the ""Tough Coach"" Complex",David Brooks,7,2006-02-06T15:45:42Z
4,Forgiveness,David Brooks,7,2011-03-09T13:57:22Z
5,Making Stuff,David Brooks,7,2011-03-07T18:00:45Z
6,Modern Status,David Brooks,7,2011-03-07T10:00:14Z
7,At a Crossroads Over Iraq,David Brooks,7,2007-07-13T12:16:29Z
8,Taking a Second Look at Smith,David Brooks,7,2006-10-16T16:37:53Z
9,Bucking the Republican Trend,David Brooks,7,2006-10-12T12:29:57Z
