,headline,kicker,page,pub_date
0,The Life Report: Byron R. Wien,David Brooks,18,2011-12-08T18:51:59Z
1,The Life Report: John Lagos,David Brooks,18,2011-11-23T15:05:34Z
2,Hey! You! I Don't Need to Be Your Girlfriend!,David Brooks,18,2007-07-10T14:58:52Z
3,A Philosophical Candidate,David Brooks,18,2007-04-26T14:15:49Z
4,When They Get Behind Closed Doors,David Brooks,18,2007-02-09T13:18:15Z
5,The Other Side of Santorum,David Brooks,18,2006-10-30T17:43:58Z
6,Republicans Fighting to Define Themselves,David Brooks,18,2006-10-23T15:28:34Z
7,Learning By Extremism,David Brooks,18,2006-09-21T15:27:09Z
8,Lieberman Lost. Here's Why.,David Brooks,18,2006-08-10T12:51:59Z
9,Democracy Needs Time to Evolve,David Brooks,18,2006-07-13T11:11:36Z
