,headline,kicker,page,pub_date
0,The Life Report: Neil Richard Parnes,David Brooks,1,2011-11-28T16:58:02Z
1,Turning the Other Cheek. It Works.,David Brooks,1,2011-03-23T14:28:10Z
2,Empathy's Decline,David Brooks,1,2011-03-15T13:37:40Z
3,The Life Report: D.R.G.,David Brooks,1,2011-11-17T12:19:55Z
4,The Life Report: Ray Olson,David Brooks,1,2011-11-16T09:30:34Z
5,The Life Reports,David Brooks,1,2011-11-10T17:17:07Z
6,America Corrupts,David Brooks,1,2011-03-16T13:25:12Z
7,The Life Report: Marguerite E. Moore,David Brooks,1,2011-11-24T22:29:30Z
8,The Life Report: Frank H. Wheeler,David Brooks,1,2011-12-16T18:52:53Z
9,The Life Report: Regina Titus,David Brooks,1,2011-12-01T15:31:09Z
