,headline,kicker,page,pub_date
0,The Life Report: Robert Roy,David Brooks,2,2011-11-21T17:05:47Z
1,Birthday Time,David Brooks,2,2011-04-05T14:15:20Z
2,Gratitude's Gifts,David Brooks,2,2011-03-18T15:29:58Z
3,The Life Report: Ann Bless,David Brooks,2,2011-12-12T14:09:06Z
4,Resilience,David Brooks,2,2011-03-25T15:58:36Z
5,Best and Brightest,David Brooks,2,2011-03-16T09:55:13Z
6,The Life Report: Judy Helgager,David Brooks,2,2011-11-22T09:50:51Z
7,The Life Report: David Leshan,David Brooks,2,2011-11-11T16:51:49Z
8,Mental Redistribution,David Brooks,2,2011-04-15T17:27:32Z
9,Optimistic Socialists,David Brooks,2,2011-04-26T11:57:30Z
