,headline,kicker,page,pub_date
0,"Worthy of Adulation, If Not Imitation",David Brooks,14,2007-05-08T15:21:06Z
1,A New Wave of Old Liberals Takes Over,David Brooks,14,2007-03-14T11:09:19Z
2,Taking Marriage Off the Pedestal,David Brooks,14,2007-01-18T17:06:19Z
3,A Classical Approach to Politics,David Brooks,14,2006-11-27T15:57:48Z
4,'Borat' Makes Condescension a Sport,David Brooks,14,2006-11-16T16:18:44Z
5,College Is Not (Always) the Answer,David Brooks,14,2006-09-11T14:51:15Z
6,Kos and Effect,David Brooks,14,2006-06-26T11:09:36Z
7,The Battlefield is Not a Business,David Brooks,14,2006-04-17T13:50:59Z
8,How to Get an Education in College,David Brooks,14,2006-03-02T14:58:24Z
9,The Life Report: Hugh Nazor,David Brooks,14,2011-11-24T22:29:00Z
