,headline,kicker,page,pub_date
0,Edwards Plays to the People,David Brooks,15,2007-08-17T15:42:24Z
1,Getting Globalization Right,David Brooks,15,2007-07-24T16:21:13Z
2,It's All Politics,David Brooks,15,2007-03-22T13:55:55Z
3,A Cerebral Sport,David Brooks,15,2007-03-19T17:27:24Z
4,Family Matters in Education,David Brooks,15,2007-03-01T15:11:31Z
5,Truth and Consequences,David Brooks,15,2006-12-11T16:21:20Z
6,The Centrists Go To Washington,David Brooks,15,2006-11-09T16:20:17Z
7,Globalization Is In for a Bumpy Ride,David Brooks,15,2006-09-05T15:05:01Z
8,When Culture Was Not Political,David Brooks,15,2006-08-21T16:43:25Z
9,America: A Retrospective,David Brooks,15,2006-06-30T16:37:04Z
