,headline,kicker,page,pub_date
0,The Life Report: Wayne McWilliams,David Brooks,9,2011-11-30T15:21:05Z
1,The Thrill of Victory,David Brooks,9,2011-03-07T18:20:09Z
2,A Narcissistic Approach to Iraq,David Brooks,9,2007-03-15T15:47:48Z
3,Independent Voter Seeks New Home,David Brooks,9,2006-11-30T15:21:51Z
4,Obama for President,David Brooks,9,2006-10-19T10:53:19Z
5,We Need More Than a Quick Fix,David Brooks,9,2006-07-31T15:29:09Z
6,"Keeping the Faith, Steadily",David Brooks,9,2006-06-19T12:48:34Z
7,Political Prozac Taking Hold in Washington,David Brooks,9,2006-05-11T10:40:35Z
8,Food Fight in Washington!,David Brooks,9,2006-05-01T11:26:47Z
9,Bolivia's Elections and Waning Capitalist Faith,David Brooks,9,2005-12-27T12:11:44Z
