,headline,kicker,page,pub_date
0,Creating a Heavier Footprint in Iraq,David Brooks,12,2007-01-09T19:34:01Z
1,A Common Thread of Worry,David Brooks,12,2006-12-18T16:22:27Z
2,A Tangled Webb,David Brooks,12,2006-11-06T14:42:14Z
3,Time For a Roundtable Discussion of Immigration,David Brooks,12,2006-05-18T13:28:39Z
