,headline,kicker,page,pub_date
0,"Respect for the Warrior, not the War",David Brooks,20,2005-11-29T17:21:04Z
1,The Life Report: Mac Cato,David Brooks,20,2011-11-18T09:46:16Z
2,Scoot Free,David Brooks,20,2007-07-03T13:39:49Z
3,Understanding Al Gore,David Brooks,20,2007-06-19T13:01:11Z
4,They Want to Break Free,David Brooks,20,2007-04-30T15:56:47Z
5,McCain Is Nothing If Not Consistent,David Brooks,20,2007-04-13T17:42:39Z
6,A Tribute to Great Essayists,David Brooks,20,2006-12-14T16:51:16Z
7,Are Boys Getting Shortchanged in the Classroom?,David Brooks,20,2006-06-12T11:19:06Z
8,Evil Thrives Among Iraqi Insurgents,David Brooks,20,2006-06-08T12:57:08Z
9,"With Help From Rice, The Decider Decides",David Brooks,20,2006-06-01T11:07:34Z
