,headline,kicker,page,pub_date
0,IMHO,David Brooks,3,2011-06-02T18:41:48Z
1,Teenage Dreams,David Brooks,3,2011-05-13T18:27:31Z
2,Thoughtless or Careless,David Brooks,3,2011-04-13T12:34:06Z
3,Homework Follies,David Brooks,3,2011-05-13T15:31:35Z
4,Everybody Plays,David Brooks,3,2011-05-24T09:39:56Z
5,Facebook Effect,David Brooks,3,2011-04-05T09:38:38Z
6,Expressive Attraction,David Brooks,3,2011-05-31T11:02:29Z
7,Use Your Words,David Brooks,3,2011-05-12T10:06:04Z
8,Bugs and Brains,David Brooks,3,2011-04-06T14:55:11Z
9,Substance Abuse in Black and White,David Brooks,3,2011-04-13T13:00:23Z
